variable,n_nonmissing,mean,sd,median,min,p01,p25,p75,p99,max,n_zeros,n_negative,role,inferred_type,pct_missing
age_at_dx,122,67.79162874081968,8.877617569905917,67.14407940000001,44.15,50.067800000000005,61.0225,73.0346201225,89.57367556439999,90.66666667,0,0,clinical_core,numeric,0
os_status,125,0.32799999999999996,0.47137410661500767,0,0,0,0,1,1,1,84,0,clinical_core,binary,0
os_years,125,2.5616,1.6133722796968297,2.28493150684932,0.0219178082191781,0.0246575342465753,1.36164383561644,4.19452054794521,5,5,0,0,clinical_core,numeric,0
acrc,125,5.465542257573507,1.3855620115412555,5.2598824514954,3.03907724364637,3.310798993533628,4.47117826485008,6.48106646659995,8.672605002236713,8.80306000043521,0,0,molecular_feature,numeric,0
ag2,125,5.465542257573507,1.485793165381405,5.35407046565311,2.64032225799153,2.884982962821886,4.33616704242029,6.36666065667543,9.19957083605732,9.40773175336617,0,0,molecular_feature,numeric,0
atg16l2,125,5.465542257573506,0.8366714316008322,5.39891719084537,3.81858882808404,3.873309588339173,4.86506040996252,6.07961237127428,7.165296546832171,7.35001273267656,0,0,molecular_feature,numeric,0
btbd16,125,5.465542257573507,2.127869343289601,5.61291542424269,2.05093341600793,2.0596808559548383,3.65747408544233,7.29567896416243,9.579333231547107,9.89234393483907,0,0,molecular_feature,numeric,0
c10orf47,125,5.465542257573507,0.9682326966549618,5.48047168788441,2.74520835016166,3.1582334340067577,4.78350176349383,6.22417054898822,7.238474833343633,7.37397937041831,0,0,molecular_feature,numeric,0
c11orf41,125,5.465542257573507,1.6172004210188404,5.92474535655517,1.78149938752997,2.0858493149217496,4.10263848934548,6.67639656048981,8.373135116667305,8.52814864065699,0,0,molecular_feature,numeric,0
c11orf9,125,5.465542257573507,1.0933460047824763,5.65356315517045,2.22965776413153,2.462439446825324,4.75723848842838,6.14914393743981,7.685303687681247,8.67488624411623,0,0,molecular_feature,numeric,0
c12orf27,125,5.465542257573507,2.2564264091145683,5.99336521495781,1.63840655918269,1.652060014095794,3.65912096879225,7.13202193707973,9.726634132462049,10.1401212995789,0,0,molecular_feature,numeric,0
c17orf70,125,5.465542257573506,0.9579716710133432,5.4201038579848,2.42495671316408,2.726117953228504,4.77169223338346,6.17875089079565,7.516722382380067,7.65527674927658,0,0,molecular_feature,numeric,0
c1orf106,125,5.4655422575735075,0.9741953850460406,5.55108800957057,1.46782393793277,2.5935908992737065,4.96198745493914,6.19397729695947,6.98757107294638,7.15516861618974,0,0,molecular_feature,numeric,0
c1orf126,125,5.465542257573507,1.1747831377172078,5.37571839356063,2.72643900583221,2.9911461309365333,4.68660742746088,6.12507977497842,8.354330567538547,9.15037424229562,0,0,molecular_feature,numeric,0
c2cd4a,125,5.465542257573506,1.9551377895860356,5.37408083774531,0.822732876582934,0.9342593829622817,4.27215686401658,7.03838816730922,9.098417126107876,9.43707589020537,0,0,molecular_feature,numeric,0
c2orf70,125,5.465542257573507,1.101143127837386,5.48950618355,1.84273196254453,1.905147818387138,4.95666374773244,6.09054905177005,7.8652626526329605,8.3509094746275,0,0,molecular_feature,numeric,0
c3orf66,125,5.465542257573507,1.9869121265493979,5.40475170316996,1.87463444591229,1.9267169284274543,3.59415238977205,6.9681582309165,9.501389864406134,10.4553529915779,0,0,molecular_feature,numeric,0
c8orf45,125,5.465542257573507,1.510102595031551,5.15491329974979,2.59108634077069,2.8032028297503606,4.41681682930593,6.61284828433264,9.25529040203795,9.54712022289319,0,0,molecular_feature,numeric,0
calml6,125,5.465542257573507,2.115283361051341,5.61239892754789,2.47715391342401,2.4909209170143773,3.38762645781519,7.19958854812851,9.622237489380291,9.75138082366016,0,0,molecular_feature,numeric,0
chrna10,125,5.4655422575735075,1.6677348931104001,5.71557884172692,2.5845912052905202,2.632046835026424,3.92298618463784,6.83810575750768,8.949033695008318,9.05999879179222,0,0,molecular_feature,numeric,0
cldn14,125,5.465542257573507,1.7426346968511048,5.56962904413488,1.99600194241695,2.2004532811854336,3.91564647817834,6.74919601332514,9.043183924361152,9.28690953325378,0,0,molecular_feature,numeric,0
cnot1,125,5.465542257573507,0.6855461209787974,5.56400555984337,0.639105903877736,3.6666689962242676,5.19248446886726,5.83120678167947,6.624005936949158,6.7791681641281,0,0,molecular_feature,numeric,0
col18a1,125,5.4655422575735075,0.9134050486913223,5.4104723010085,3.52272362921795,3.7561019994315306,4.84749403182076,6.07499771432985,7.815372205756934,7.95881233193144,0,0,molecular_feature,numeric,0
col1a1,125,5.465542257573507,1.161357205293296,5.48049159084062,2.45343161503841,2.6644292534433003,4.70652805842948,6.26412767681964,8.201093188193669,8.60772584622794,0,0,molecular_feature,numeric,0
col4a4,125,5.4655422575735075,1.6606480173098208,5.56706738168418,2.07144094603309,2.2181187048135085,4.2870917767921,6.58965270144172,8.994287454862025,9.11072691404018,0,0,molecular_feature,numeric,0
cubn,125,5.4655422575735075,1.3334938531599516,5.34781854400743,2.72718435475381,2.8210028121073876,4.50250963033552,6.40021278607058,8.406394432245074,8.98229113659192,0,0,molecular_feature,numeric,0
dennd2a,125,5.4655422575735075,1.0166135543073298,5.55687656361712,2.85275377561912,3.132328850273734,4.88823528569602,6.23298152147067,7.493416659844132,7.57667177627552,0,0,molecular_feature,numeric,0
dkk1,125,5.465542257573507,2.073515615491371,5.77597009660582,1.25078615638388,1.381871472787281,3.68865176715586,7.03731819322605,9.335105429605747,9.49272671443018,0,0,molecular_feature,numeric,0
dok4,125,5.465542257573506,0.8565030313598551,5.50602882399541,1.62341926245804,3.801027383296596,4.9959411648491,5.91660746423572,7.606126779093336,8.05189054314705,0,0,molecular_feature,numeric,0
eif2b2,125,5.465542257573507,0.6388841594675583,5.57869089668546,1.73719082463618,2.1221591698817273,5.36066851259937,5.73845731655804,6.307746866127596,6.3594008397569,0,0,molecular_feature,numeric,0
erbb2,125,5.4655422575735075,1.0620160656372009,5.21115597368491,3.44842226815456,3.5771071420772715,4.80733691827457,5.82072980294041,8.613032754378157,9.23563793292107,0,0,molecular_feature,numeric,0
f3,125,5.465542257573507,1.1768010577868837,5.36536904073432,1.91840860213504,3.46050733173037,4.66046504969409,6.43915660110214,7.909748765524329,8.94390329969409,0,0,molecular_feature,numeric,0
flj23867,125,5.465542257573506,1.1036924375634098,5.41250425763694,1.57661382005397,2.278344100298968,4.71877309405121,6.32949852421075,7.683285027721782,8.15748154023268,0,0,molecular_feature,numeric,0
flj35776,125,5.4655422575735075,1.2254955888158612,5.70479497797588,2.42552819063363,3.1766177883660087,4.40659860923459,6.5849708347338,7.514257483139806,7.69731498892021,0,0,molecular_feature,numeric,0
galntl2,125,5.465542257573507,1.8687599479807404,5.34668630487907,1.89469068688507,2.3358701259980497,3.97671093490691,6.92858503191271,9.241600574047602,9.48927126744896,0,0,molecular_feature,numeric,0
galntl4,125,5.465542257573507,0.9212752743568369,5.53030381283798,2.03662554572976,3.137468124557463,4.89188753937031,6.13599565513833,7.067243356692906,7.46429699623852,0,0,molecular_feature,numeric,0
gapdh,125,5.465542257573507,0.6657855624382328,5.51224761445,4.08586208191787,4.150727958719124,4.99417142596322,5.85262694371729,7.000537134113248,7.24105277830012,0,0,molecular_feature,numeric,0
gnal,125,5.4655422575735075,1.6612436485258573,5.52561886323826,2.29542873144404,2.4451219152825807,4.02044465867145,6.72306934329501,8.795261027891078,9.29413624067794,0,0,molecular_feature,numeric,0
gpr111,125,5.465542257573506,2.3972577191106885,5.84122844677231,1.72790239390571,1.7416693974960775,3.06541445835487,7.49544372130595,9.813856513389858,10.3920917625219,0,0,molecular_feature,numeric,0
gpr124,125,5.465542257573507,1.111377270664968,5.46660454326294,2.72699281766506,3.26216746519199,4.70295860356996,6.17391427379361,7.707949380493199,7.98459809812376,0,0,molecular_feature,numeric,0
gria3,125,5.4655422575735075,2.3807618354671187,5.58965262884459,1.68685059987322,1.70061760346359,3.23692802906797,7.59315026049424,9.777302841458368,9.85956406189513,0,0,molecular_feature,numeric,0
gucy1b2,125,5.465542257573507,0.9673013760526558,5.58136790769066,2.58705209368656,3.217675644763313,4.74008616242212,6.13886857454942,7.606943744850935,8.1628828876863,0,0,molecular_feature,numeric,0
habp2,125,5.465542257573507,2.11056335613105,5.28911537039185,0.871442037479341,1.1408342103372662,4.06155679063226,7.0922108641584,10.017460920992852,11.0203427154061,0,0,molecular_feature,numeric,0
hgs,125,5.465542257573507,0.7852171274867372,5.53635413016994,0.526568767918881,1.6672017761175932,5.25470215573473,5.85388063066629,6.918114889635937,7.14024454650493,0,0,molecular_feature,numeric,0
hnrnpl,125,5.465542257573506,0.2632098179532738,5.47362442402634,4.51218564397081,4.836767245050078,5.29781318017011,5.65167157790347,5.971741624456629,6.12535918847695,0,0,molecular_feature,numeric,0
hs3st2,125,5.4655422575735075,1.8160086439695444,5.31057008437903,1.7727381674336,1.9434641737515346,3.91049156442765,6.74437083204184,9.33975445746541,9.56348992971685,0,0,molecular_feature,numeric,0
ibtk,125,5.465542257573507,0.6296368437969513,5.54357197199005,1.44591657679066,2.2612325784802185,5.34595301244623,5.73243658259666,6.327878604919185,6.73691033445652,0,0,molecular_feature,numeric,0
ier3,125,5.4655422575735075,0.890671239017661,5.51542625353117,3.70358207720815,3.7442068684619443,4.75997854817218,6.08504064986839,7.491079137495566,7.61591180537214,0,0,molecular_feature,numeric,0
il1r2,125,5.465542257573507,1.1836941284175324,5.55374938558995,2.42076291029031,2.6782662390983196,4.6430781164109,6.16933747286084,7.735830115776989,7.75005215749044,0,0,molecular_feature,numeric,0
il6,125,5.4655422575735075,1.7420929132410299,5.37470999933529,2.1397357441802,2.238628958583559,4.05980241439825,6.53178198705729,9.541603293918833,10.1115456116787,0,0,molecular_feature,numeric,0
ipo8,125,5.465542257573507,0.4628142300104074,5.50725429720936,2.10940094565575,4.192380342604022,5.32293828510061,5.72492243100077,6.2526811071641415,6.3608833346466,0,0,molecular_feature,numeric,0
itga10,125,5.4655422575735075,1.5222790981507244,5.43133157849042,2.76349989579641,2.8985325084010576,4.22725708344344,6.55280789686242,8.700778011355037,9.57635991781104,0,0,molecular_feature,numeric,0
kcne4,125,5.465542257573507,1.4566523411150527,5.25982175189783,2.45137532263363,2.7655786636023363,4.27768215311351,6.60445910877731,8.591727398034193,9.260368696724,0,0,molecular_feature,numeric,0
lipg,125,5.465542257573507,1.3167066828708136,5.53849724738043,0.731688387767639,2.391974874157557,4.77287388203667,6.41152944582588,8.1029283254015,8.3810079433572,0,0,molecular_feature,numeric,0
loc728264,125,5.465542257573506,1.016602729889342,5.4014752328757,3.19588596749226,3.41807878238752,4.80304621438091,6.10269578655847,7.592726477258232,7.92271148689853,0,0,molecular_feature,numeric,0
ly6h,125,5.465542257573507,2.27800424268992,5.7087834733373,1.76228864665021,1.7700693316773932,3.44896530181219,7.39022220846564,9.805721074397155,10.1364321396038,0,0,molecular_feature,numeric,0
mc1r,125,5.4655422575735075,0.9311517063483076,5.49554469674461,2.88274140493126,3.055219604215621,4.97375144967858,5.92814151491252,7.859870910918819,7.95106834048163,0,0,molecular_feature,numeric,0
meis3,125,5.4655422575735075,1.5582653404218176,5.4300488523702,2.09506077258614,2.364212278567484,4.46053466723965,6.40250604931769,9.522302034421426,9.73261177847364,0,0,molecular_feature,numeric,0
mmp10,125,5.465542257573505,1.992477597612259,5.1159553525491,0.999472528133622,1.0484324722429996,4.14771768495664,6.96423247379714,10.261291799721976,10.8719911839716,0,0,molecular_feature,numeric,0
mrpl19,125,5.465542257573507,0.2882596277296839,5.43086835226607,4.38994043631215,4.778528775099294,5.30662166147864,5.60163996715506,6.256560452023794,6.49207951712216,0,0,molecular_feature,numeric,0
mst1r,125,5.465542257573507,1.0838067495233021,5.65613724221659,2.31713654965034,2.784810670131691,4.7589099421962,6.32266405396814,7.164083343354313,7.35581483396476,0,0,molecular_feature,numeric,0
myeov,125,5.465542257573507,1.8720880342744497,5.67165064259436,1.49571336568632,1.5911249038353683,4.28483820344324,6.86127860055524,8.774646296760555,9.30402332195923,0,0,molecular_feature,numeric,0
ncoa7,125,5.4655422575735075,1.0142366726455025,5.32259956983336,1.5413923401696,3.6911864848699953,4.83455711303112,6.04535920471367,7.988603760032553,8.13680059958969,0,0,molecular_feature,numeric,0
npas2,125,5.465542257573506,1.1601465412127179,5.71588827461483,1.06901150050042,2.3731708580033275,4.84966770583472,6.25180738447673,7.313195161032763,7.52165795428101,0,0,molecular_feature,numeric,0
obfc2a,125,5.465542257573506,0.909645452771896,5.48757759892326,1.91189076978435,2.5022093990914795,4.99696533297733,6.01892674312435,7.136603307003447,8.80204683339582,0,0,molecular_feature,numeric,0
ovgp1,125,5.465542257573507,1.7647845973870568,5.41370484281162,2.04534182165515,2.283366472003403,4.13705073579886,6.44435167241771,10.097443944283436,13.5478668479239,0,0,molecular_feature,numeric,0
padi1,125,5.4655422575735075,2.0675606248610583,5.64750796512441,1.64703714595812,1.6714643262174782,3.96900516687262,6.9519631369539,9.5830367922485,10.5807624369057,0,0,molecular_feature,numeric,0
pappa,125,5.465542257573507,1.556575458262982,5.3415883359845,1.96363340991868,2.068268781549722,4.32572255075969,6.51520419381707,8.595391789228476,8.70867252470848,0,0,molecular_feature,numeric,0
phlda2,125,5.465542257573507,1.1739352464543893,5.44845462877229,2.39552520822564,2.702927976397234,4.78815933754547,6.34317253790084,8.105348119283835,8.46185772022987,0,0,molecular_feature,numeric,0
ptprn,125,5.4655422575735075,1.142207460189143,5.47489119357855,2.91931757987397,3.1381248103498187,4.6327586433514,6.22942298981412,8.065939776428934,9.2151617208007,0,0,molecular_feature,numeric,0
rbms2,125,5.4655422575735075,0.49829750619981555,5.49633015840901,3.95002379327259,4.102653000689151,5.13882019783088,5.80844272899959,6.740120175157729,6.92829518906029,0,0,molecular_feature,numeric,0
rhov,125,5.465542257573507,0.9650560711654091,5.42812855670865,2.7722462265005,3.3860676242284424,4.8629122927507,6.07955181331603,7.555277244940668,7.79266986915496,0,0,molecular_feature,numeric,0
s100a10,125,5.465542257573507,0.898799381254582,5.48125912260167,2.80444025946348,3.035814581549383,4.83998261761583,6.08987298536889,7.30722942383812,7.5498631861213,0,0,molecular_feature,numeric,0
s100a11,125,5.465542257573507,0.8556883664452712,5.48496236787506,2.56335098865049,3.0058671991277492,4.95933060699455,6.00732180879873,7.432484175814061,7.46873994246215,0,0,molecular_feature,numeric,0
s100a6,125,5.465542257573506,1.2483976510534718,5.50070726425398,-0.633766572380174,3.0908886837394602,4.75791516843264,6.26377004861052,7.7162215383147945,8.79215532878283,0,1,molecular_feature,numeric,0
saa4,125,5.465542257573507,1.7899494280281854,5.53776980593314,1.83012018188854,1.913628570496528,4.19910559789518,6.59912599921787,9.016664204763138,9.27929495732079,0,0,molecular_feature,numeric,0
sh2d3a,125,5.465542257573507,0.789493494445343,5.54217989103937,2.30568231745817,2.824899367338197,5.11241365992641,6.01733038131276,6.743206391758795,6.78674208475629,0,0,molecular_feature,numeric,0
slc23a3,125,5.465542257573507,1.1030162880686774,5.46488873565705,2.8634661916808,3.2016078031876027,4.77715796196679,6.12385657027195,8.621576905062488,9.49986172904965,0,0,molecular_feature,numeric,0
slc6a13,125,5.465542257573507,1.9393683198551697,5.76581136988837,1.11891905665114,1.4245728569638643,4.11792048485801,6.64139308145688,8.968582604440668,9.03910807271218,0,0,molecular_feature,numeric,0
tal1,125,5.4655422575735075,1.7317838170586621,5.33507741163003,2.27207233279197,2.5003037580491805,4.04672977632062,6.75981574987668,9.06772641836313,9.31952683450514,0,0,molecular_feature,numeric,0
tbp,125,5.465542257573507,0.6080126909373178,5.45574073446481,4.32856014780209,4.382204685311973,4.97307744143891,6.02983733543331,6.664778670759516,7.1738685714026,0,0,molecular_feature,numeric,0
txk,125,5.465542257573507,1.449586203458205,5.44850305736105,1.99033371528241,2.586895597991395,4.36170831062454,6.70286476609149,8.361698222166229,9.30594649356428,0,0,molecular_feature,numeric,0
usc73_86,125,9.492057872596316,1.1353549668774519,9.40450044528843,7.16542591044288,7.240419321226412,8.67083508680868,10.1795089681558,12.208587087251876,12.419867519199,0,0,molecular_feature,numeric,0
vil1,125,5.465542257573507,2.2958112785063687,5.67133084500761,1.50834875411299,1.5727037594842899,3.36181188497867,7.19718176120345,9.578185160006885,9.88217392814673,0,0,molecular_feature,numeric,0
wdr17,125,5.465542257573507,1.7433425676920418,5.58948622127503,1.47154023400931,1.5749739924418904,4.38103085277226,6.57232226022769,9.068916420636114,9.75736805592394,0,0,molecular_feature,numeric,0
wnt7b,125,5.465542257573507,1.3837699391722376,5.49655285666033,1.52534773132236,2.382740091440763,4.74577978851134,6.28671369368695,8.24304442337529,8.37462453686549,0,0,molecular_feature,numeric,0
znf69,125,5.465542257573507,1.1008247036094307,5.40246495888632,3.12129070253336,3.3775321176664415,4.69496662202185,6.0345313129503,8.45162208561619,8.82734816416589,0,0,molecular_feature,numeric,0
