direction,tau_years,model_id,c_index,auc_tau,brier_tau,calib_intercept,calib_slope,calib_method,brier_recal,auc_recal,cases_le_tau,controls_at_tau,model
TCGA -> UPSC,1.5,ridge_base,0.7723132969034608,NA,0.15822925529088833,-1.43336398339884,NA,glm,0.15822925529088833,NA,12,46,Ridge Base
TCGA -> UPSC,1.5,ridge_ext,0.697632058287796,NA,0.8073791120026772,-87.31259013595073,4.665770429340136,glm,0.15388047973587074,NA,12,46,Ridge Extended
TCGA -> UPSC,1.5,cox_base,0.7714025500910746,NA,0.1289604333158696,1.0511293912380506,1.3215547274727502,glm,0.12611020437123455,NA,12,46,Cox Base
TCGA -> UPSC,1.5,cox_ext,0.6785063752276868,NA,0.807424906123972,-1.43336398339884,NA,glm,0.807424906123972,NA,12,46,Cox Extended
TCGA -> UPSC,2,ridge_base,0.7723132969034608,NA,0.2070935735489404,-0.9331358195934201,NA,glm,0.2070935735489404,NA,17,40,Ridge Base
TCGA -> UPSC,2,ridge_ext,0.697632058287796,NA,0.7177103547579178,-36.87045245071549,1.9522967130431272,glm,0.3018249834218176,NA,17,40,Ridge Extended
TCGA -> UPSC,2,cox_base,0.7714025500910746,NA,0.14589330403205691,0.8957429182146989,1.2546747911310605,glm,0.13778567749826728,NA,17,40,Cox Base
TCGA -> UPSC,2,cox_ext,0.6785063752276868,NA,0.7177110276657528,-0.9331358195934201,NA,glm,0.7177110276657528,NA,17,40,Cox Extended
TCGA -> UPSC,2.5,ridge_base,0.7723132969034608,NA,0.21044381615223903,-0.8461946083772239,NA,glm,0.21044381615223903,NA,18,35,Ridge Base
TCGA -> UPSC,2.5,ridge_ext,0.697632058287796,NA,0.6997682510098517,-223.77552245245195,12.103695767921097,glm,0.3122490938980528,NA,18,35,Ridge Extended
TCGA -> UPSC,2.5,cox_base,0.7714025500910746,NA,0.13832965400805988,0.21517859007612772,1.0710611799896752,glm,0.15053486787978057,NA,18,35,Cox Base
TCGA -> UPSC,2.5,cox_ext,0.6785063752276868,NA,0.699768251974109,-0.8461946083772239,NA,glm,0.699768251974109,NA,18,35,Cox Extended
TCGA -> UPSC,3,ridge_base,0.7723132969034608,NA,0.23054689787177543,-0.5744446837250176,NA,glm,0.23054689787177543,NA,21,32,Ridge Base
TCGA -> UPSC,3,ridge_ext,0.697632058287796,NA,0.6397881160906139,-0.5744446837250176,NA,glm,0.6397881160906139,NA,21,32,Ridge Extended
TCGA -> UPSC,3,cox_base,0.7714025500910746,NA,0.1678779597322917,0.17357277862974674,0.8098147155929274,glm,0.17088823790792837,NA,21,32,Cox Base
TCGA -> UPSC,3,cox_ext,0.6785063752276868,NA,0.6397881160906139,-0.5744446837250176,NA,glm,0.6397881160906139,NA,21,32,Cox Extended
TCGA -> UPSC,3.5,ridge_base,0.7723132969034608,NA,0.2410207835813746,-0.48867713576288635,NA,glm,0.2410207835813746,NA,22,29,Ridge Base
TCGA -> UPSC,3.5,ridge_ext,0.697632058287796,NA,0.6197947374627824,-0.48867713576288635,NA,glm,0.6197947374627824,NA,22,29,Ridge Extended
TCGA -> UPSC,3.5,cox_base,0.7714025500910746,NA,0.18829292652301832,-0.23650973988797638,0.5991491187809009,glm,0.19372376315892365,NA,22,29,Cox Base
TCGA -> UPSC,3.5,cox_ext,0.6785063752276868,NA,0.6197947374627824,-0.48867713576288635,NA,glm,0.6197947374627824,NA,22,29,Cox Extended
TCGA -> UPSC,4,ridge_base,0.7723132969034608,NA,0.24307955509407222,-0.3957212971374007,NA,glm,0.24307955509407222,NA,23,27,Ridge Base
TCGA -> UPSC,4,ridge_ext,0.697632058287796,NA,0.5976592111248258,-0.3957212971374007,NA,glm,0.5976592111248258,NA,23,27,Ridge Extended
TCGA -> UPSC,4,cox_base,0.7714025500910746,NA,0.18271498305969047,-0.11674805727068019,0.63759738723431,glm,0.19657242170363848,NA,23,27,Cox Base
TCGA -> UPSC,4,cox_ext,0.6785063752276868,NA,0.5976592111248258,-0.3957212971374007,NA,glm,0.5976592111248258,NA,23,27,Cox Extended
TCGA -> UPSC,5,ridge_base,0.7723132969034608,NA,0.20565895995255445,-13.392116224051934,NA,glm,0.20565895995255445,NA,24,18,Ridge Base
TCGA -> UPSC,5,ridge_ext,0.697632058287796,NA,0.9999984528659884,-13.392116224051934,NA,glm,0.9999984528659884,NA,24,18,Ridge Extended
TCGA -> UPSC,5,cox_base,0.7714025500910746,NA,0.1561531611170018,-13.090629492029553,0.9069874828829809,glm,1.527120529390541e-6,NA,24,18,Cox Base
TCGA -> UPSC,5,cox_ext,0.6785063752276868,NA,0.9999984528659884,-13.392116224051934,NA,glm,0.9999984528659884,NA,24,18,Cox Extended
UPSC -> TCGA,2,ridge_base,0.7494929006085193,NA,0.16242940288692517,5.277897516943567,7.003913501341574,glm,0.15578642869745069,NA,10,24,Ridge Base
UPSC -> TCGA,2,ridge_ext,0.7890466531440162,NA,0.175793408307,24.70164557775301,33.79561348284672,glm,0.1378379427194962,NA,10,24,Ridge Extended
UPSC -> TCGA,2,cox_base,0.7413793103448276,NA,0.15956513778105133,1.2080996646843702,1.0277757760689883,glm,0.1519948133936083,NA,10,24,Cox Base
UPSC -> TCGA,2,cox_ext,0.7849898580121704,NA,0.296622056097767,-2.2157161304112347,0.6059084199133079,glm,0.13856240218826657,NA,10,24,Cox Extended
UPSC -> TCGA,2.5,ridge_base,0.7494929006085193,NA,0.1951158313811031,3.393940679367952,5.456433083477655,glm,0.1951158313811031,NA,12,17,Ridge Base
UPSC -> TCGA,2.5,ridge_ext,0.7890466531440162,NA,0.20556542803353442,18.61649231980264,31.944614989819158,glm,0.20556542803353442,NA,12,17,Ridge Extended
UPSC -> TCGA,2.5,cox_base,0.7413793103448276,NA,0.21415279681668747,0.962872842169637,0.8194032394843501,glm,0.21415279681668747,NA,12,17,Cox Base
UPSC -> TCGA,2.5,cox_ext,0.7849898580121704,NA,0.31676047325174966,-1.8080155703994483,0.4776281020539849,glm,0.31676047325174966,NA,12,17,Cox Extended
UPSC -> TCGA,3,ridge_base,0.7494929006085193,NA,0.2072168397182184,4.08741423346498,8.42370664691977,glm,0.2072168397182184,NA,14,10,Ridge Base
UPSC -> TCGA,3,ridge_ext,0.7890466531440162,NA,0.22400132421248412,19.48339751848035,56.85775403411082,glm,0.22400132421248412,NA,14,10,Ridge Extended
UPSC -> TCGA,3,cox_base,0.7413793103448276,NA,0.23691132260263298,2.578555497494809,1.4341134250368877,glm,0.23691132260263298,NA,14,10,Cox Base
UPSC -> TCGA,3,cox_ext,0.7849898580121704,NA,0.22633429315205894,-2.7274270584532574,1.1860182030552755,glm,0.22633429315205894,NA,14,10,Cox Extended
